"CSDUID","DGUID","CSDNAME","CSDTYPE","LANDAREA","PRUID","geometry"
"5909856","2021A00055909856","Langley 2","IRI",0.4799,"59",list(list(c(4058871.36571432, 4058764.39428575, 4058649.06857147, 4058645.98857147, 4058646.03142861, 4058658.56285718, 4058673.74857147, 4058685.81714289, 4058571.82857146, 4058528.07428575, 4058918.36000004, 4059450.16285718, 4059439.58000004, 4059602.24571432, 4059589.77142861, 4059565.59142861, 4059572.49142861, 4059493.47714289, 4059455.83428575, 4059439.60000004, 4059438.48285718, 4059427.41714289, 4059304.28571432, 4059267.48000004, 4059259.13428575, 4059258.3371429, 4059243.54571432, 4059236.18000004, 
4059232.13714289, 4059183.40857147, 4059134.60857147, 4058964.99142861, 4058955.19142861, 4058954.75142861, 4058871.36571432, 1973662.86571432, 1973612.58000004, 1973844.04285718, 1973849.02857146, 1973870.42285718, 1973887.62857146, 1973905.59428575, 1973921.80000003, 1974003.38857146, 1974034.70571432, 1974658.42857146, 1974415.86000003, 1974386.75428575, 1974314.73428575, 1974291.11428575, 1974274.16285718, 1973850.34571432, 1973829.35714289, 1973819.36000003, 1973818.30571432, 1973818.23428575, 
1973817.51428575, 1973809.51142861, 1973802.90000004, 1973801.40000004, 1973801.25714289, 1973798.60000004, 1973797.27714289, 1973796.5514286, 1973787.79714289, 1973769.50000003, 1973705.90285718, 1973702.22857146, 1973702.06285718, 1973662.86571432)))
"5915001","2021A00055915001","Langley","DM",307.2193,"59",list(list(c(4044035.82000004, 4044044.82285718, 4044240.80000004, 4044558.02857146, 4044650.76285718, 4044651.36571432, 4044705.08571432, 4045012.8571429, 4045017.83428575, 4045024.44000004, 4045047.16857146, 4045061.34000004, 4045230.50857146, 4045324.94857147, 4045346.78000004, 4045364.98285718, 4045368.78571432, 4045387.49714289, 4045499.03428575, 4045511.42571432, 4045628.98285718, 4045629.20571432, 4045643.05142861, 4045794.60285718, 4045884.41428575, 4045997.32571432, 4046150.11142861, 4046176.31714289, 
4046420.73142861, 4046520.58857147, 4046633.45428575, 4046755.89714289, 4046756.32857146, 4046813.48857147, 4046814.05428575, 4046825.91428575, 4046860.75142861, 4046975.78285718, 4047041.78857147, 4047100.86857146, 4047155.69428575, 4047205.42000004, 4047225.92571432, 4047328.48857147, 4047333.42000004, 4047380.91428575, 4047381.08000004, 4047398.18285718, 4047428.15714289, 4047470.42285718, 4047647.57428575, 4047656.86000004, 4047688.14857147, 4047731.58571432, 4047732.07714289, 4047733.73142861, 
4047987.68000004, 4048002.46857147, 4048040.39714289, 4048045.51142861, 4048045.80000004, 4048092.16857146, 4048109.06285718, 4048142.45428575, 4048199.54857146, 4048199.78857147, 4048250.49428575, 4048282.33142861, 4048299.14285718, 4048309.82571432, 4048314.39142861, 4048334.44285718, 4048344.50571432, 4048392.74857147, 4048393.38285718, 4048404.3571429, 4048420.00285718, 4048420.30571432, 4048439.53428575, 4048441.65142861, 4048501.87428575, 4048506.90571432, 4048507.24857147, 4048526.6971429, 
4048528.04857146, 4048533.22571432, 4048578.60857147, 4048618.78285718, 4048629.18000004, 4048630.82285718, 4048644.40857147, 4048646.04857146, 4048647.6971429, 4048647.70571432, 4048647.76000004, 4048652.60285718, 4048655.39428575, 4048640.36285718, 4048626.23714289, 4048626.12000004, 4048625.55142861, 4048611.09142861, 4048610.87142861, 4048596.78571432, 4048564.60000004, 4048562.64857147, 4048552.10285718, 4048551.95428575, 4048548.3371429, 4048539.57428575, 4048562.04000004, 4048587.63142861, 
4048605.34857146, 4048606.46571432, 4048606.66285718, 4048621.71428575, 4048672.72857147, 4048706.08571432, 4048746.95714289, 4048794.61428575, 4048851.80857147, 4049024.15714289, 4049190.41428575, 4049398.45142861, 4049518.71714289, 4049537.67428575, 4049699.35142861, 4049723.54285718, 4049731.56857147, 4049878.30285718, 4049881.19142861, 4049896.20000004, 4049896.95142861, 4049964.38000004, 4049986.67142861, 4050077.79142861, 4050089.19428575, 4050122.06000004, 4050127.48285718, 4050135.80285718, 
4050139.05428575, 4050165.63142861, 4050179.26571432, 4050199.91428575, 4050210.73428575, 4050230.03142861, 4050248.64285718, 4050272.44285718, 4050304.60285718, 4050326.07142861, 4050348.26000004, 4050348.73428575, 4050435.02000004, 4050491.60571432, 4050710.04285718, 4050756.50285718, 4050803.43142861, 4050864.10857147, 4050925.39714289, 4050929.10571432, 4050933.54857146, 4050933.86571432, 4051040.56000004, 4051156.88857147, 4051419.65142861, 4051421.26571432, 4051425.77714289, 4051595.33428575, 
4051654.31428575, 4051899.33428575, 4052059.85428575, 4052098.1771429, 4052136.88857147, 4052516.28857147, 4052651.53428575, 4052762.46571432, 4053013.85142861, 4053050.05428575, 4053053.77142861, 4053178.16857146, 4053325.48285718, 4053362.96571432, 4053549.63142861, 4053602.37142861, 4053609.8571429, 4053986.49428575, 4053986.63714289, 4054267.62857147, 4054308.93428575, 4054412.62285718, 4054551.78000004, 4054552.32857146, 4054701.76285718, 4055055.30857147, 4055105.25428575, 4055259.77714289, 
4055291.39428575, 4055323.32857146, 4055438.92857147, 4055442.59428575, 4055467.40285718, 4055331.61142861, 4055271.21714289, 4055168.95714289, 4055158.68000004, 4055119.78285718, 4055119.57714289, 4055112.90000004, 4054934.60285718, 4054922.01142861, 4054908.61714289, 4054728.73142861, 4054722.97714289, 4054620.82857146, 4054465.99714289, 4054446.53428575, 4054445.02857146, 4054416.02285718, 4054396.66000004, 4054393.82000004, 4054365.39428575, 4054362.55428575, 4054304.72857147, 4054280.29428575, 
